[00:02:36] INFO: === ЗАПУСК МОДЕЛИРОВАНИЯ СМО M/M/3 ===
[00:02:36] INFO: t=25.23 | Заявка #106 завершила обслуживание на Приборе #3. Прибор свободен.
[00:02:36] INFO: t=25.85 | Заявка #111 поступила.
[00:02:36] INFO: t=25.85 | Заявка #111 направлена на Прибор #2.
[00:02:36] INFO: t=26.01 | Заявка #112 поступила.
[00:02:36] INFO: t=26.01 | Заявка #112 направлена на Прибор #3.
[00:02:36] INFO: t=26.02 | Заявка #113 поступила.
[00:02:36] WARNING: t=26.02 | ОТКАЗ! Все приборы (3) заняты. Заявка #113 потеряна.
[00:02:36] INFO: t=26.16 | Заявка #114 поступила.
[00:02:36] WARNING: t=26.16 | ОТКАЗ! Все приборы (3) заняты. Заявка #114 потеряна.
[00:02:36] INFO: t=26.19 | Заявка #115 поступила.
[00:02:36] WARNING: t=26.19 | ОТКАЗ! Все приборы (3) заняты. Заявка #115 потеряна.
[00:02:36] INFO: t=26.21 | Заявка #116 поступила.
[00:02:36] WARNING: t=26.21 | ОТКАЗ! Все приборы (3) заняты. Заявка #116 потеряна.
[00:02:36] INFO: t=26.39 | Заявка #117 поступила.
[00:02:36] WARNING: t=26.39 | ОТКАЗ! Все приборы (3) заняты. Заявка #117 потеряна.
[00:02:36] INFO: t=26.43 | Заявка #111 завершила обслуживание на Приборе #2. Прибор свободен.
[00:02:36] INFO: t=26.44 | Заявка #118 поступила.
[00:02:36] INFO: t=26.44 | Заявка #118 направлена на Прибор #2.
[00:02:36] INFO: t=26.53 | Заявка #118 завершила обслуживание на Приборе #2. Прибор свободен.
[00:02:36] INFO: t=26.89 | Заявка #119 поступила.
[00:02:36] INFO: t=26.89 | Заявка #119 направлена на Прибор #2.
[00:02:36] INFO: t=26.93 | Заявка #112 завершила обслуживание на Приборе #3. Прибор свободен.
[00:02:36] INFO: t=26.96 | Заявка #105 завершила обслуживание на Приборе #1. Прибор свободен.
[00:02:36] INFO: t=27.07 | Заявка #120 поступила.
[00:02:36] INFO: t=27.07 | Заявка #120 направлена на Прибор #1.
[00:02:36] INFO: t=27.07 | Заявка #119 завершила обслуживание на Приборе #2. Прибор свободен.
[00:02:36] INFO: t=27.18 | Заявка #121 поступила.
[00:02:36] INFO: t=27.18 | Заявка #121 направлена на Прибор #2.
[00:02:36] INFO: t=27.32 | Заявка #122 поступила.
[00:02:36] INFO: t=27.32 | Заявка #122 направлена на Прибор #3.
[00:02:36] INFO: t=27.37 | Заявка #123 поступила.
[00:02:36] WARNING: t=27.37 | ОТКАЗ! Все приборы (3) заняты. Заявка #123 потеряна.
[00:02:36] INFO: t=27.42 | Заявка #124 поступила.
[00:02:36] WARNING: t=27.42 | ОТКАЗ! Все приборы (3) заняты. Заявка #124 потеряна.
[00:02:36] INFO: t=27.65 | Заявка #125 поступила.
[00:02:36] WARNING: t=27.65 | ОТКАЗ! Все приборы (3) заняты. Заявка #125 потеряна.
[00:02:36] INFO: t=27.71 | Заявка #120 завершила обслуживание на Приборе #1. Прибор свободен.
[00:02:36] INFO: t=27.72 | Заявка #126 поступила.
[00:02:36] INFO: t=27.72 | Заявка #126 направлена на Прибор #1.
[00:02:36] INFO: t=27.74 | Заявка #127 поступила.
[00:02:36] WARNING: t=27.74 | ОТКАЗ! Все приборы (3) заняты. Заявка #127 потеряна.
[00:02:36] INFO: t=27.76 | Заявка #121 завершила обслуживание на Приборе #2. Прибор свободен.
[00:02:36] INFO: t=28.65 | Заявка #126 завершила обслуживание на Приборе #1. Прибор свободен.
[00:02:36] INFO: t=29.03 | Заявка #128 поступила.
[00:02:36] INFO: t=29.03 | Заявка #128 направлена на Прибор #1.
[00:02:36] INFO: t=29.05 | Заявка #129 поступила.
[00:02:36] INFO: t=29.05 | Заявка #129 направлена на Прибор #2.
[00:02:36] INFO: t=29.11 | Заявка #130 поступила.
[00:02:36] WARNING: t=29.11 | ОТКАЗ! Все приборы (3) заняты. Заявка #130 потеряна.
[00:02:36] INFO: t=29.14 | Заявка #122 завершила обслуживание на Приборе #3. Прибор свободен.
